generation,population_size,total_concepts,mutation_rate,natural_mutations,safe_triggers,avg_attributes,unique_attributes,inheritance_rate,concept_diversity,timestamp
146,100,3314,0.19241094837921918,26,0,36.02,110,0.97,3.7310432464668906,1741002512.7452905
147,100,3330,0.1914488936373231,19,0,36.27,109,0.97,3.7333852471030182,1741002512.7780557
148,100,3348,0.19049164916913647,16,0,36.31,99,0.97,3.7294587827583023,1741002512.8082294
149,100,3362,0.18953919092329077,19,0,36.61,99,0.97,3.728738736875914,1741002512.8384206
150,100,3375,0.18859149496867433,16,0,36.57,96,0.97,3.747059267001654,1741002512.8691688
151,100,3387,0.18764853749383095,23,0,36.84,104,0.97,3.7678172342902574,1741002514.3571215
152,100,3384,0.1867102948063618,16,0,37.21,103,0.97,3.7601065167868315,1741002514.38991
153,100,3402,0.18577674333233,26,0,37.38,110,0.97,3.7811601474864642,1741002514.4206192
154,100,3421,0.18484785961566835,19,0,37.53,113,0.97,3.7989658688021435,1741002514.4865777
155,100,3438,0.18392362031759002,17,0,37.63,107,0.97,3.808372501075272,1741002514.5211835
156,100,3443,0.18300400221600205,15,0,37.65,109,0.97,3.812225898119393,1741002514.5550756
157,100,3451,0.18208898220492203,20,0,37.69,107,0.97,3.8138055818684102,1741002514.5885978
158,100,3476,0.18117853729389743,18,0,37.54,111,0.97,3.817631685321257,1741002514.6196535
159,100,3498,0.18027264460742795,17,0,37.4,107,0.97,3.8137493867052443,1741002514.6512253
160,100,3518,0.1793712813843908,20,0,37.32,106,0.97,3.816355797327419,1741002514.6824634
161,100,3528,0.17847442497746885,20,0,37.22,110,0.97,3.8101609683290376,1741002516.2132685
162,100,3555,0.1775820528525815,21,0,37.25,111,0.97,3.8121248930544773,1741002516.2499337
163,100,3565,0.17669414258831861,15,0,37.45,107,0.97,3.815256160765078,1741002516.2813601
164,100,3586,0.175810671875377,17,0,37.54,110,0.97,3.819893976827335,1741002516.313006
165,100,3611,0.17493161851600011,20,0,37.48,109,0.97,3.820395923307039,1741002516.3450527
166,100,3612,0.17405696042342012,12,0,37.61,100,0.97,3.8273043979989403,1741002516.376848
167,100,3651,0.17318667562130302,20,0,37.32,103,0.97,3.8382505961681463,1741002516.4087946
168,100,3679,0.1723207422431965,24,0,37.61,111,0.97,3.863992417031071,1741002516.4431255
169,100,3690,0.1714591385319805,17,0,38.13,114,0.97,3.880026454059046,1741002516.4754043
170,100,3691,0.17060184283932062,23,0,38.68,113,0.97,3.9034583668625733,1741002516.542642
171,100,3707,0.169748833625124,14,0,39.06,114,0.97,3.917865773480261,1741002518.0254169
172,100,3696,0.1689000894569984,23,0,39.79,112,0.97,3.9161848799182275,1741002518.0616336
173,100,3675,0.1680555890097134,24,0,41.01,115,0.97,3.9065498613241294,1741002518.0950646
174,100,3683,0.1672153110646648,15,0,41.46,110,0.97,3.909638164165154,1741002518.1282802
175,100,3696,0.1663792345093415,18,0,41.58,111,0.97,3.904488572798832,1741002518.1614678
176,100,3710,0.1655473383367948,18,0,41.74,113,0.97,3.9274702711530085,1741002518.195226
177,100,3730,0.16471960164511082,14,0,42.01,114,0.97,3.8987414592863665,1741002518.2644784
178,100,3739,0.16389600363688528,18,0,42.14,108,0.97,3.895404903633532,1741002518.2998505
179,100,3745,0.16307652361870084,24,0,42.52,108,0.97,3.898932983707195,1741002518.3353589
180,100,3755,0.16226114100060732,15,0,43.11,106,0.97,3.900185592420125,1741002518.3694837
181,100,3771,0.1614498352956043,11,0,43.4,107,0.97,3.9050461278130584,1741002519.854129
182,100,3768,0.16064258611912627,13,0,43.76,99,0.97,3.883922219469453,1741002519.8923745
183,100,3794,0.15983937318853064,22,0,43.82,100,0.97,3.8993374589275827,1741002519.926997
184,100,3823,0.159040176322588,17,0,43.75,102,0.97,3.9050487611131564,1741002519.9936616
185,100,3849,0.15824497544097504,20,0,43.78,110,0.97,3.917660351350179,1741002520.0292501
186,100,3864,0.15745375056377017,20,0,44.0,115,0.97,3.9186342599279946,1741002520.0678797
187,100,3877,0.15666648181095133,23,0,44.2,118,0.97,3.94346966127243,1741002520.105098
